depot,a,b
1,0,0
2,34.11662458,32.11662458
3,31.72511027,29.72511027
4,30.13496044,28.13496044
5,34.31691498,32.31691498
6,32.15374705,30.15374705
7,36.12857997,34.12857997
8,39.15050084,37.15050084
9,37.70062626,35.70062626
10,40.11012668,38.11012668
11,33.32426978,31.32426978
12,33.92752862,31.92752862
13,34.24600631,32.24600631
14,27.4117681,25.4117681
15,30.93198611,28.93198611
16,24.37905429,22.37905429
17,38.45146002,36.45146002
18,34.43776599,32.43776599
19,32.2041532,30.2041532
20,40.02070412,38.02070412
21,35.75995875,33.75995875
22,31.97993434,29.97993434
23,36.69710185,34.69710185
24,36.40499537,34.40499537
25,33.53405093,31.53405093
26,31.20727231,29.20727231
27,35.21549874,33.21549874
28,35.23218308,33.23218308
29,30.81969318,28.81969318
30,39.10927946,37.10927946
